"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"11","Grandes Jorasses (Pointe Walker)","4208","843","45°52′09″N 06°59′18″E﻿ / ﻿45.86917°N 6.98833°E﻿ / 45.86917; 6.98833﻿ (11. Grandes Jorasses (Pte Walker) (4208 m))","Mont Blanc massif","I/B-07.V-B","U-Savoy/Aosta","FR/IT","1868"
"12","Alphubel","4206","359","46°03′47″N 07°51′50″E﻿ / ﻿46.06306°N 7.86389°E﻿ / 46.06306; 7.86389﻿ (12. Alphubel (4206 m))","Mischabel","I/B-09.V-A","Valais","CH","1860"
"13","Rimpfischhorn","4199","642","46°01′24″N 07°53′03″E﻿ / ﻿46.02333°N 7.88417°E﻿ / 46.02333; 7.88417﻿ (13. Rimpfischhorn (4199 m))","Mischabel","I/B-09.V-A","Valais","CH","1859"
"14","Aletschhorn","4193","1029","46°27′54″N 07°59′38″E﻿ / ﻿46.46500°N 7.99389°E﻿ / 46.46500; 7.99389﻿ (14. Aletschhorn (4193 m))","Bernese Alps","I/B-12.II-E","Valais","CH","1859"
"15","Strahlhorn","4190","401","46°00′48″N 07°54′06″E﻿ / ﻿46.01333°N 7.90167°E﻿ / 46.01333; 7.90167﻿ (15. Strahlhorn (4190 m))","Mischabel","I/B-09.V-A","Valais","CH","1854"
"16","Dent d'Hérens","4174","701","45°58′12″N 07°36′19″E﻿ / ﻿45.97000°N 7.60528°E﻿ / 45.97000; 7.60528﻿ (16. Dent d'Hérens (4174 m))","Weisshorn-Matterhorn","I/B-09.II-A","Valais/Aosta","CH/IT","1863"
"17","Breithorn","4164","439","45°56′28″N 07°44′56″E﻿ / ﻿45.94111°N 7.74889°E﻿ / 45.94111; 7.74889﻿ (17. Breithorn (4164 m))","Monte Rosa Alps","I/B-09.III-A","Valais/Aosta","CH/IT","1813"
"18","Jungfrau","4158","687","46°32′12″N 07°57′45″E﻿ / ﻿46.53667°N 7.96250°E﻿ / 46.53667; 7.96250﻿ (18. Jungfrau (4158 m))","Bernese Alps","I/B-12.II-B","Bern/Valais","CH","1811"
"19","Aiguille Verte","4122","689","45°56′05″N 06°58′13″E﻿ / ﻿45.93472°N 6.97028°E﻿ / 45.93472; 6.97028﻿ (19. Aig. Verte (4122 m))","Mont Blanc massif","I/B-07.V-B","Upper Savoy","FR","1865"
"20","Mönch","4107","584","46°33′30″N 07°59′50″E﻿ / ﻿46.55833°N 7.99722°E﻿ / 46.55833; 7.99722﻿ (20. Mönch (4107 m))","Bernese Alps","I/B-12.II-B","Bern/Valais","CH","1857"
"21","Barre des Écrins","4102","2045","44°55′21″N 06°21′36″E﻿ / ﻿44.92250°N 6.36000°E﻿ / 44.92250; 6.36000﻿ (21. Barre des Écrins (4102 m))","Massif des Écrins","I/A-05.III-A","Hautes-Alpes","FR","1864"
"22","Schreckhorn","4078","792","46°35′24″N 08°07′05″E﻿ / ﻿46.59000°N 8.11806°E﻿ / 46.59000; 8.11806﻿ (22. Schreckhorn (4078 m))","Bernese Alps","I/B-12.II-C","Bern","CH","1861"
"23","Ober Gabelhorn","4063","536","46°02′19″N 07°40′05″E﻿ / ﻿46.03861°N 7.66806°E﻿ / 46.03861; 7.66806﻿ (23. Ober Gabelhorn (4063 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH","1865"
"24","Gran Paradiso","4061","1888","45°31′05″N 07°16′02″E﻿ / ﻿45.51806°N 7.26722°E﻿ / 45.51806; 7.26722﻿ (24. Gran Paradiso (4061 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta Valley","IT","1860"
"25","Piz Bernina","4049","2234","46°22′56″N 09°54′29″E﻿ / ﻿46.38222°N 9.90806°E﻿ / 46.38222; 9.90806﻿ (25. Piz Bernina (4049 m))","Bernina Range","II/A-15.III-A","Graubünden","CH","1850"
"26","Gross Fiescherhorn","4049","398","46°33′05″N 08°03′41″E﻿ / ﻿46.55139°N 8.06139°E﻿ / 46.55139; 8.06139﻿ (26. Gross Fiescherhorn (4049 m))","Bernese Alps","I/B-12.II-B","Bern/Valais","CH","1862"
"27","Gross Grünhorn","4044","305","46°31′55″N 08°04′40″E﻿ / ﻿46.53194°N 8.07778°E﻿ / 46.53194; 8.07778﻿ (27. Gross Grünhorn (4044 m))","Bernese Alps","I/B-12.II-B","Valais","CH","1865"
"28","Weissmies","4017","1186","46°07′40″N 08°00′44″E﻿ / ﻿46.12778°N 8.01222°E﻿ / 46.12778; 8.01222﻿ (28. Weissmies (4017 m))","Weissmies Alps","I/B-09.V-C","Valais","CH","1855"
"29","Lagginhorn","4010","511","46°09′26″N 08°00′11″E﻿ / ﻿46.15722°N 8.00306°E﻿ / 46.15722; 8.00306﻿ (29. Lagginhorn (4010 m))","Weissmies Alps","I/B-09.V-C","Valais","CH","1856"
"30","Piz Zupò","3996","405","46°22′06″N 09°55′53″E﻿ / ﻿46.36833°N 9.93139°E﻿ / 46.36833; 9.93139﻿ (30. Piz Zupò (3996 m))","Bernina Range","II/A-15.III-A","Graub./Sondrio","CH/IT","1863"
"30","Fletschhorn","3985","297","46°10′05″N 08°00′12″E﻿ / ﻿46.16806°N 8.00333°E﻿ / 46.16806; 8.00333﻿ (Fletschhorn (3985 m))","Weissmies Alps","I/B-09.V-C","Valais","CH","1854"
"31","Gletscherhorn","3983","346","46°30′46″N 07°58′04″E﻿ / ﻿46.51278°N 7.96778°E﻿ / 46.51278; 7.96778﻿ (31. Gletscherhorn (3983 m))","Bernese Alps","I/B-12.II-D","Bern/Valais","CH","1867"
"32","Meije","3982","824","45°00′17″N 06°18′31″E﻿ / ﻿45.00472°N 6.30861°E﻿ / 45.00472; 6.30861﻿ (32. Meije (3982 m))","Massif des Écrins","I/A-05.III-B","Isère/H-Alpes","FR","1877"
"33","Eiger","3970","356","46°34′39″N 08°00′19″E﻿ / ﻿46.57750°N 8.00528°E﻿ / 46.57750; 8.00528﻿ (33. Eiger (3970 m))","Bernese Alps","I/B-12.II-B","Bern","CH","1858"
"34","Grivola","3969","714","45°35′45″N 07°15′27″E﻿ / ﻿45.59583°N 7.25750°E﻿ / 45.59583; 7.25750﻿ (34. Grivola (3969 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta Valley","IT","1859"
"35","Grand Cornier","3962","431","46°03′07″N 07°36′41″E﻿ / ﻿46.05194°N 7.61139°E﻿ / 46.05194; 7.61139﻿ (35. Grand Cornier (3962 m))","Weisshorn-Matterhorn","I/B-09.II-C","Valais","CH","1865"
"36","Ailefroide","3954","762","44°53′06″N 06°21′23″E﻿ / ﻿44.88500°N 6.35639°E﻿ / 44.88500; 6.35639﻿ (36. Ailefroide (3954 m))","Massif des Écrins","I/A-05.III-C","Isère/H-Alpes","FR","1870"
"37","Mont Pelvoux","3943","465","44°53′51″N 06°23′48″E﻿ / ﻿44.89750°N 6.39667°E﻿ / 44.89750; 6.39667﻿ (37. Mont Pelvoux (3943 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR","1828"
"38","Piz Roseg","3937","415","46°22′25″N 09°52′59″E﻿ / ﻿46.37361°N 9.88306°E﻿ / 46.37361; 9.88306﻿ (38. Piz Roseg (3937 m))","Bernina Range","II/A-15.III-A","Graubünden","CH","1865"
"39","Bietschhorn","3934","806","46°23′30″N 07°51′03″E﻿ / ﻿46.39167°N 7.85083°E﻿ / 46.39167; 7.85083﻿ (39. Bietschhorn (3934 m))","Bernese Alps","I/B-12.II-E","Valais","CH","1859"
"40","Trugberg","3933","306","46°32′48″N 08°00′55″E﻿ / ﻿46.54667°N 8.01528°E﻿ / 46.54667; 8.01528﻿ (40. Trugberg (3933 m))","Bernese Alps","I/B-12.II-B","Valais","CH","1871"
"41","Aiguille de Tré la Tête","3930","588","45°47′41″N 06°48′54″E﻿ / ﻿45.79472°N 6.81500°E﻿ / 45.79472; 6.81500﻿ (41. Aig. de Tré la Tête (3930 m))","Mont Blanc massif","I/B-07.V-A","Aosta Valley","IT","1864"
"42","Pic Sans Nom","3913","340","44°53′36″N 06°23′02″E﻿ / ﻿44.89333°N 6.38389°E﻿ / 44.89333; 6.38389﻿ (42. Pic Sans Nom (3913 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR","1877"
"43","Gross Wannenhorn","3906","626","46°29′38″N 08°05′49″E﻿ / ﻿46.49389°N 8.09694°E﻿ / 46.49389; 8.09694﻿ (43. Gross Wannenhorn (3906 m))","Bernese Alps","I/B-12.II-B","Valais","CH","1864"
"44","Ortler","3905","1953","46°30′32″N 10°32′41″E﻿ / ﻿46.50889°N 10.54472°E﻿ / 46.50889; 10.54472﻿ (44. Ortler (3905 m))","Ortler Alps","II/C-28.I-A","South Tyrol","IT","1804"
"45","Aiguille d'Argentière","3901","473","45°57′36″N 07°01′12″E﻿ / ﻿45.96000°N 7.02000°E﻿ / 45.96000; 7.02000﻿ (45. Aig. d'Argentière (3901 m))","Mont Blanc massif","I/B-07.V-C","Valais/U-Savoy","CH/FR","1864"
"46","Ruinette","3875","851","45°58′45″N 07°24′01″E﻿ / ﻿45.97917°N 7.40028°E﻿ / 45.97917; 7.40028﻿ (46. Ruinette (3875 m))","Grand Combin Alps","I/B-09.I-D","Valais","CH","1865"
"47","Aiguille de Triolet","3870","301","45°55′00″N 07°01′28″E﻿ / ﻿45.91667°N 7.02444°E﻿ / 45.91667; 7.02444﻿ (47. Aig. de Triolet (3870 m))","Mont Blanc massif","I/B-07.V-B","U-Savoy/Aosta","FR/IT","1874"
"48","Grande Casse","3855","1305","45°24′19″N 06°49′40″E﻿ / ﻿45.40528°N 6.82778°E﻿ / 45.40528; 6.82778﻿ (48. Grande Casse (3855 m))","Vanoise massif","I/B-07.II-B","Savoy","FR","1860"
"49","Königspitze / Gran Zebrù","3851","424","46°28′43″N 10°34′06″E﻿ / ﻿46.47861°N 10.56833°E﻿ / 46.47861; 10.56833﻿ (49. Königspitze / Gran Zebrù (3851 m))","Ortler Alps","II/C-28.I-A","S-Tyrol/Sondrio","IT","1854"
"50","Aiguille du Midi","3842","310","45°52′43″N 06°53′15″E﻿ / ﻿45.87861°N 6.88750°E﻿ / 45.87861; 6.88750﻿ (50. Aig. du Midi (3842 m))","Mont Blanc massif","I/B-07.V-B","Upper Savoy","FR","1856"
"51","Monviso / Monte Viso / Vísol","3841","2062","44°40′03″N 07°05′27″E﻿ / ﻿44.66750°N 7.09083°E﻿ / 44.66750; 7.09083﻿ (51. Monviso / Monte Viso / Vísol (3841 m))","Southern Cottian Alps","I/A-04.I-C","Cuneo","IT","1861"
"52","Bouquetins","3838","490","45°58′56″N 07°32′43″E﻿ / ﻿45.98222°N 7.54528°E﻿ / 45.98222; 7.54528﻿ (52. Bouquetins (3838 m))","Weisshorn-Matterhorn","I/B-09.II-A","Valais/Aosta","CH/IT","1871"
"53","Tour Noir","3837","302","45°56′56″N 07°02′15″E﻿ / ﻿45.94889°N 7.03750°E﻿ / 45.94889; 7.03750﻿ (53. Tour Noir (3837 m))","Mont Blanc massif","I/B-07.V-C","Valais/U-Savoy","CH/FR","1876"
"53","Brunegghorn","3833","293","46°07′33″N 07°44′44″E﻿ / ﻿46.12583°N 7.74556°E﻿ / 46.12583; 7.74556﻿ (Brunegghorn (3833 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH","1865"
"54","Aiguille du Chardonnet","3824","503","45°58′08″N 07°00′04″E﻿ / ﻿45.96889°N 7.00111°E﻿ / 45.96889; 7.00111﻿ (54. Aig. du Chardonnet (3824 m))","Mont Blanc massif","I/B-07.V-C","Upper Savoy","FR","1865"
"55","Nesthorn","3821","636","46°24′48″N 07°55′34″E﻿ / ﻿46.41333°N 7.92611°E﻿ / 46.41333; 7.92611﻿ (55. Nesthorn (3821 m))","Bernese Alps","I/B-12.II-E","Valais","CH","1865"
"56","Mont Dolent","3820","330","45°55′21″N 07°02′46″E﻿ / ﻿45.92250°N 7.04611°E﻿ / 45.92250; 7.04611﻿ (56. Mont Dolent (3820 m))","Mont Blanc massif","I/B-07.V-C","Valais/Aosta","CH/IT","1864"
"57","Aiguille des Glaciers","3816","301","45°46′43″N 06°48′09″E﻿ / ﻿45.77861°N 6.80250°E﻿ / 45.77861; 6.80250﻿ (57. Aig. des Glaciers (3816 m))","Mont Blanc massif","I/B-07.V-A","Aosta/U-Savoy","FR/IT","1878"
"58","Le Râteau","3809","452","45°00′03″N 06°16′59″E﻿ / ﻿45.00083°N 6.28306°E﻿ / 45.00083; 6.28306﻿ (58. Le Râteau (3809 m))","Massif des Écrins","I/A-05.III-B","Isère/H-Alpes","FR","1873"
"59","Großglockner","3798","2428","47°04′27″N 12°41′40″E﻿ / ﻿47.07417°N 12.69444°E﻿ / 47.07417; 12.69444﻿ (59. Großglockner (3798 m))","Glockner Group","II/A-17.II-C","Carinthia/E-Tyrol","AT","1800"
"60","Schinhorn","3797","422","46°27′06″N 07°56′48″E﻿ / ﻿46.45167°N 7.94667°E﻿ / 46.45167; 7.94667﻿ (60. Schinhorn (3797 m))","Bernese Alps","I/B-12.II-E","Valais","CH","1869"
"61","Pointe de Zinal","3789","301","46°01′37″N 07°37′50″E﻿ / ﻿46.02694°N 7.63056°E﻿ / 46.02694; 7.63056﻿ (61. Pte de Zinal (3789 m))","Weisshorn-Matterhorn","I/B-09.II-C","Valais","CH","1870"
"62","Lauterbrunnen Breithorn","3780","443","46°28′43″N 07°52′36″E﻿ / ﻿46.47861°N 7.87667°E﻿ / 46.47861; 7.87667﻿ (62. Lauterbrunnen Breithorn (3780 m))","Bernese Alps","I/B-12.II-D","Bern/Valais","CH","1865"
"63","Mont Pourri","3779","1127","45°31′41″N 06°51′37″E﻿ / ﻿45.52806°N 6.86028°E﻿ / 45.52806; 6.86028﻿ (63. Mont Pourri (3779 m))","Vanoise massif","I/B-07.II-C","Savoy","FR","1861"
"64","Aiguille Noire de Peuterey","3772","343","45°48′55″N 06°53′35″E﻿ / ﻿45.81528°N 6.89306°E﻿ / 45.81528; 6.89306﻿ (64. Aig. Noire de Peuterey (3772 m))","Mont Blanc massif","I/B-07.V-B","Aosta Valley","IT","1877"
"65","Wildspitze","3770","2263","46°53′07″N 10°52′02″E﻿ / ﻿46.88528°N 10.86722°E﻿ / 46.88528; 10.86722﻿ (65. Wildspitze (3770 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1848"
"66","Monte Cevedale","3769","531","46°26′38″N 10°37′00″E﻿ / ﻿46.44389°N 10.61667°E﻿ / 46.44389; 10.61667﻿ (66. Monte Cevedale (3769 m))","Ortler Alps","II/C-28.I-A","Sondrio/Trentino","IT","1865"
"67","Grande Ruine","3765","496","44°58′04″N 06°19′47″E﻿ / ﻿44.96778°N 6.32972°E﻿ / 44.96778; 6.32972﻿ (67. Grande Ruine (3765 m))","Massif des Écrins","I/A-05.III-A","Isère/H-Alpes","FR","1873"
"68","Aiguille de Leschaux","3759","309","45°53′15″N 07°00′25″E﻿ / ﻿45.88750°N 7.00694°E﻿ / 45.88750; 7.00694﻿ (68. Aig. de Leschaux (3759 m))","Mont Blanc massif","I/B-07.V-B","Upper Savoy","FR/IT","1872"
"69","Pointe de Charbonnel","3752","997","45°16′49″N 07°03′18″E﻿ / ﻿45.28028°N 7.05500°E﻿ / 45.28028; 7.05500﻿ (69. Pte de Charbonnel (3752 m))","Graian Alps - SE","I/B-07.I-A","Savoy","FR","1862"
"70","Piz Morteratsch","3751","324","46°24′10″N 09°54′06″E﻿ / ﻿46.40278°N 9.90167°E﻿ / 46.40278; 9.90167﻿ (70. Piz Morteratsch (3751 m))","Bernina Range","II/A-15.III-A","Graubünden","CH","1858"
"71","Aiguille de la Grande Sassière","3747","792","45°30′18″N 07°00′00″E﻿ / ﻿45.50500°N 7.00000°E﻿ / 45.50500; 7.00000﻿ (71. Aig. de la Grande Sassière (3747 m))","Graian Alps - Central","I/B-07.III-A","Savoy/Aosta","FR/IT","1808"
"72","Weißkugel","3739","569","46°47′52″N 10°43′35″E﻿ / ﻿46.79778°N 10.72639°E﻿ / 46.79778; 10.72639﻿ (72. Weißkugel (3739 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1845"
"73","Roche Faurio","3730","363","44°56′31″N 06°21′29″E﻿ / ﻿44.94194°N 6.35806°E﻿ / 44.94194; 6.35806﻿ (73. Roche Faurio (3730 m))","Massif des Écrins","I/A-05.III-A","Isère","FR","1873"
"74","Mont Vélan","3726","620","45°53′30″N 07°15′06″E﻿ / ﻿45.89167°N 7.25167°E﻿ / 45.89167; 7.25167﻿ (74. Mont Vélan (3726 m))","Grand Combin Alps","I/B-09.I-B","Valais/Aosta","CH/IT","1779"
"75","Evêque","3716","647","45°57′52″N 07°30′10″E﻿ / ﻿45.96444°N 7.50278°E﻿ / 45.96444; 7.50278﻿ (75. Evêque (3716 m))","Grand Combin Alps","I/B-09.I-C","Valais","CH","1867"
"76","Combin de Corbassière","3716","312","45°58′41″N 07°16′50″E﻿ / ﻿45.97806°N 7.28056°E﻿ / 45.97806; 7.28056﻿ (76. Combin de Corbassière (3716 m))","Grand Combin Alps","I/B-09.I-B","Valais","CH","1851"
"77","La Singla","3714","452","45°56′45″N 07°28′19″E﻿ / ﻿45.94583°N 7.47194°E﻿ / 45.94583; 7.47194﻿ (77. La Singla (3714 m))","Grand Combin Alps","I/B-09.I-C","Valais/Aosta","CH/IT","1867"
"78","Wetterhörner (Mittelhorn)","3704","579","46°38′07″N 08°07′29″E﻿ / ﻿46.63528°N 8.12472°E﻿ / 46.63528; 8.12472﻿ (78. Wetterhörner (Mittelhorn) (3704 m))","Bernese Alps","I/B-12.II-C","Bern","CH","1845"
"79","Le Pleureur","3704","467","46°00′59″N 07°22′09″E﻿ / ﻿46.01639°N 7.36917°E﻿ / 46.01639; 7.36917﻿ (79. Le Pleureur (3704 m))","Grand Combin Alps","I/B-09.I-D","Valais","CH","1867"
"80","Balmhorn","3698","1022","46°25′30″N 07°41′37″E﻿ / ﻿46.42500°N 7.69361°E﻿ / 46.42500; 7.69361﻿ (80. Balmhorn (3698 m))","Bernese Alps","I/B-12.II-D","Bern/Valais","CH","1864"
"81","Dent Parrachée","3697","1180","45°17′21″N 06°45′23″E﻿ / ﻿45.28917°N 6.75639°E﻿ / 45.28917; 6.75639﻿ (81. Dent Parrachée (3697 m))","Vanoise massif","I/B-07.II-D","Savoy","FR","1862"
"82","Torre del Gran San Pietro","3692","377","45°31′33″N 07°21′32″E﻿ / ﻿45.52583°N 7.35889°E﻿ / 45.52583; 7.35889﻿ (82. Torre del Gran San Pietro (3692 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta/Turin","IT","1867"
"83","Monte Disgrazia","3678","1116","46°16′09″N 09°44′58″E﻿ / ﻿46.26917°N 9.74944°E﻿ / 46.26917; 9.74944﻿ (83. Monte Disgrazia (3678 m))","Bregaglia Range","II/A-15.III-B","Sondrio","IT","1862"
"84","Punta San Matteo","3678","369","46°22′40″N 10°34′02″E﻿ / ﻿46.37778°N 10.56722°E﻿ / 46.37778; 10.56722﻿ (84. Pta San Matteo (3678 m))","Ortler Alps","II/C-28.I-A","Sondrio/Trentino","IT","1865"
"85","Uia di Ciamarella","3676","664","45°19′43″N 07°08′43″E﻿ / ﻿45.32861°N 7.14528°E﻿ / 45.32861; 7.14528﻿ (85. Uia di Ciamarella (3676 m))","Graian Alps - SE","I/B-07.I-B","Turin","IT","1857"
"86","Dent de Perroc","3676","408","46°02′22″N 07°31′23″E﻿ / ﻿46.03944°N 7.52306°E﻿ / 46.03944; 7.52306﻿ (86. Dent de Perroc (3676 m))","Weisshorn-Matterhorn","I/B-09.II-A","Valais","CH","1871"
"87","Dômes de Miage","3673","324","45°48′56″N 06°48′01″E﻿ / ﻿45.81556°N 6.80028°E﻿ / 45.81556; 6.80028﻿ (87. Dômes de Miage (3673 m))","Mont Blanc massif","I/B-07.V-A","Savoy/U-Savoy","FR","1858"
"88","Les Bans","3669","386","44°50′55″N 06°20′12″E﻿ / ﻿44.84861°N 6.33667°E﻿ / 44.84861; 6.33667﻿ (88. Les Bans (3669 m))","Massif des Écrins","I/A-05.III-C","Isère/H-Alpes","FR","1878"
"89","Großvenediger","3666","1185","47°06′33″N 12°20′47″E﻿ / ﻿47.10917°N 12.34639°E﻿ / 47.10917; 12.34639﻿ (89. Großvenediger (3666 m))","Venediger Group","II/A-17.II-A","E-Tyrol/Salzburg","AT","1841"
"90","Montagne des Agneaux","3664","460","44°57′01″N 06°25′50″E﻿ / ﻿44.95028°N 6.43056°E﻿ / 44.95028; 6.43056﻿ (90. Montagne des Agneaux (3664 m))","Massif des Écrins","I/A-05.III-A","Hautes-Alpes","FR","1873"
"91","Blüemlisalphorn","3661","874","46°29′20″N 07°46′21″E﻿ / ﻿46.48889°N 7.77250°E﻿ / 46.48889; 7.77250﻿ (91. Blüemlisalphorn (3661 m))","Bernese Alps","I/B-12.II-D","Bern","CH","1860"
"92","Portjengrat: Pizzo d'Andolla","3654","411","46°06′03″N 08°02′05″E﻿ / ﻿46.10083°N 8.03472°E﻿ / 46.10083; 8.03472﻿ (92. Portjengrat: Pizzo d'Andolla (3654 m))","Weissmies Alps","I/B-09.V-B","Valais/V-C-O","CH/IT","1871"
"93","Grande Motte","3653","401","45°24′41″N 06°52′13″E﻿ / ﻿45.41139°N 6.87028°E﻿ / 45.41139; 6.87028﻿ (93. Grande Motte (3653 m))","Vanoise massif","I/B-07.II-B","Savoy","FR","1864"
"93","Thurwieserspitze","3652","299","46°29′43″N 10°31′31″E﻿ / ﻿46.49528°N 10.52528°E﻿ / 46.49528; 10.52528﻿ (Thurwieserspitze (3652 m))","Ortler Alps","II/C-28.I-A","S-Tyrol/Sondrio","IT","1869"
"94","Aiguilles Rouges d'Arolla","3644","789","46°03′19″N 07°26′01″E﻿ / ﻿46.05528°N 7.43361°E﻿ / 46.05528; 7.43361﻿ (94. Aigs Rouges d'Arolla (3644 m))","Grand Combin Alps","I/B-09.I-D","Valais","CH","1870"
"95","Ciarforon","3643","349","45°29′36″N 07°14′50″E﻿ / ﻿45.49333°N 7.24722°E﻿ / 45.49333; 7.24722﻿ (95. Ciarforon (3643 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta/Turin","IT","1871"
"96","Doldenhorn","3638","654","46°28′08″N 07°44′05″E﻿ / ﻿46.46889°N 7.73472°E﻿ / 46.46889; 7.73472﻿ (96. Doldenhorn (3638 m))","Bernese Alps","I/B-12.II-D","Bern","CH","1862"
"97","Albaron","3637","327","45°19′57″N 07°06′10″E﻿ / ﻿45.33250°N 7.10278°E﻿ / 45.33250; 7.10278﻿ (97. Albaron (3637 m))","Graian Alps - SE","I/B-07.I-B","Savoy","FR","1866"
"98","Dammastock","3630","1466","46°38′36″N 08°25′16″E﻿ / ﻿46.64333°N 8.42111°E﻿ / 46.64333; 8.42111﻿ (98. Dammastock (3630 m))","Urner Alps","I/B-12.I-A","Uri/Valais","CH","1864"
"99","Hintere Schwärze [Note 7]","3628","835","46°46′24″N 10°54′53″E﻿ / ﻿46.77333°N 10.91472°E﻿ / 46.77333; 10.91472﻿ (99. Hintere Schwärze (3628 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1867"
"100","Levanna Centrale","3619","525","45°24′37″N 07°10′19″E﻿ / ﻿45.41028°N 7.17194°E﻿ / 45.41028; 7.17194﻿ (100. Levanna Centrale (3619 m))","Graian Alps - SE","I/B-07.I-C","Savoy/Turin","FR/IT","1875"
"101","Tödi (Piz Russein)","3614","1570","46°48′40″N 08°54′53″E﻿ / ﻿46.81111°N 8.91472°E﻿ / 46.81111; 8.91472﻿ (101. Tödi (Piz Russein) (3614 m))","Glarus Alps","I/B-13.II-A","Glarus/Graub.","CH","1824"
"102","Pointe de Ronce","3612","500","45°15′52″N 06°58′43″E﻿ / ﻿45.26444°N 6.97861°E﻿ / 45.26444; 6.97861﻿ (102. Pte de Ronce (3612 m))","Graian Alps - SE","I/B-07.I-A","Savoy","FR","1784"
"103","Les Diablons","3609","379","46°08′33″N 07°40′16″E﻿ / ﻿46.14250°N 7.67111°E﻿ / 46.14250; 7.67111﻿ (103. Les Diablons (3609 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH","1863"
"104","Grande Rousse/Bec de l'Invergnan","3607","525","45°33′48″N 07°05′04″E﻿ / ﻿45.56333°N 7.08444°E﻿ / 45.56333; 7.08444﻿ (104. Grande Rousse / Bec de l'Invergnan (3607 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT","1874"
"105","Tsanteleina","3602","490","45°28′46″N 07°02′46″E﻿ / ﻿45.47944°N 7.04611°E﻿ / 45.47944; 7.04611﻿ (105. Tsanteleina (3602 m))","Graian Alps - Central","I/B-07.III-A","Savoy/Aosta","FR/IT","1865"
"106","Aiguille du Plat de la Selle","3596","423","44°57′52″N 06°13′24″E﻿ / ﻿44.96444°N 6.22333°E﻿ / 44.96444; 6.22333﻿ (106. Aig. du Plat de la Selle (3596 m))","Massif des Écrins","I/A-05.III-B","Isère","FR","1876"
